disease_ID	DIS_ID	disease_name	ICD9	ICD10
1	DIS00001	Abdominal aortic aneurysm	442	172
2	DIS00002	Abortion, Spontaneous		
3	DIS00003	Achondroplasia	756.4	Q77.4
4	DIS00004	Acid-related diseases	531-534	K25-K27
5	DIS00005	Acne	706.1    	L70.0
6	DIS00006	Acromegaly and pituitary gigantism	253	E22.0,E34.4
7	DIS00007	Acute allograft rejection	996.8	T86
8	DIS00008	Acute coronary syndromes	411.1	I20.0
9	DIS00009	Acute graft-versus-host disease	279.5	T86.0
10	DIS00010	Acute lymphoblastic leukaemia	208.9	C91-C95
11	DIS00011	Acute lymphoblastic leukaemia (therapy-refractory)	208.9	C91-C95
12	DIS00012	Acute lymphoblastic leukemia (ALL)	204.0	C91.0
13	DIS00013	Acute migraine	346.0	G43
14	DIS00014	Acute myeloid leukemia	205.0	C92.0
15	DIS00015	Acute myeloid leukemia (AML)	205.0	C92.0
16	DIS00016	Acute nasopharyngitis [common cold]	462,472.1	J02,J31.2
17	DIS00017	Acute non-lymphocytic leukaemia	208.9	C91-C95
18	DIS00018	Acute otitis media	381.0, 381.1, 381.2, 381.3, 381.4	H65, H66, H67
19	DIS00019	Acute promyelocytic leukemia	205.0	C92.4
20	DIS00020	Acute respiratory distress syndrome	518.5, 518.82	J80
21	DIS00021	Acute T-lymphoid leukemia	208.9	C91-C95
22	DIS00022	Acute ureteric colic	788.0	N23
23	DIS00023	Acutely decompensated Congestive Heart Failure	428.0	I50
24	DIS00024	Adenomatous polyposis	153,154	C18-C21
25	DIS00025	Adrenocortical tumour	140-199,210-229	C00-C75, C7A, C7B, D10-D36, D3A
26	DIS00026	Adrenocorticotrophic hormone-secreting pituitary tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
27	DIS00027	Adrenocorticotrophic hormone-secreting tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
28	DIS00028	Adult respiratory distress syndrome	518.5, 518.82	J80
29	DIS00029	Advanced cancers, age-related macular degeneration	140-229, 362.50	C00-C96, H35.3
30	DIS00030	Advanced lung cancer	140-229, 162	C00-C96, C33-C34
31	DIS00031	Advanced or metastatic non-small cell lung cancer	162	C33-C34
32	DIS00032	Advanced solid tumors	140-199	C00-C75, C7A, C7B
33	DIS00033	Advanced, Relapsed/Refractory Multiple Myeloma	203.0	C90.0
34	DIS00034	African trypanosomiasis	086.5	B56
35	DIS00035	Age-related macular degeneration	362.50	H35.3
36	DIS00036	Aggregation and activation of platelets		
37	DIS00037	AIDS related dementia	042, 290-294	B20, F01-F07
38	DIS00038	AIDS-related Kaposi's Sarcoma	176	C46
39	DIS00039	Airway hyperreactivity		
40	DIS00040	Alcohol dependence	303	F10.2
41	DIS00041	Alcoholism	086.5	B56
42	DIS00042	Allergen-triggered inflammatory tissue injury		
43	DIS00043	Allergic airway inflammation		J00-J99, T78.4
44	DIS00044	Allergic diseases	995.3	T78.4
45	DIS00045	Allergic inflammation	995.3	T78.4
46	DIS00046	Allergic Reaction	995.3	T78.4
47	DIS00047	Allergic rhinitis, unspecified	472.0, 477, 995.3	J00, J30, J31.0, T78.4
48	DIS00048	Allergy, unspecified	995.3	T78.4
49	DIS00049	Alopecia, unspecified	704.09	L65.9
50	DIS00050	Alpha 1 Antitrypsin Deficiency	273.4, 691.8, 692.9  	E88.0, L20, L20-L30
51	DIS00051	Alzheimer's Disease	331.0	G30
52	DIS00052	Amebiasis	006	A06
53	DIS00053	Amyloidosis	277.3	E85
54	DIS00054	Amyotrophic lateral sclerosis	335.20	G12.2
55	DIS00055	Analgesics	338	R52
