herb_cn_name	herb_pinyin	herb_en_name	child_cn_name	child_en_name
矮地茶	Aidicha	Ardisiae Japonicae Herba	止咳平喘药	Antitussive Antiasthmetics
艾叶	Aiye	Folium Artemisiae Argyi	温经止血药	Channel-Warming Hemostatic
安息香	Anxixiang	Benzoinum	开窍药	Resuscitative Stimulant; Resuscitative Medicinal
八角茴香	Bajiaohuixiang	Anisi Stellati Fructus	温里药	Warming Interior Drugs
八角莲	Bajiaolian	Dysosmae Verspiellis Rhixoma Et Radix	清热解毒药	Antipyretic Detoxicate Drugs
巴豆	Badou	Crotonis Fructus	攻下药	Offensive Purgative Medicinal
巴戟天	Bajitian	Morindae Officinalis Radix	补阳药	Yang Reinforcing Drugs
菝葜	Baqia	Smilax China	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
白扁豆	Baibiandou	Lablab Semen Album	补气药	Qi Reinforcing Drugs
白附子	Baifuzi	Typhonii Rhizoma	化痰药	Phlegresolving Medicine
白果	Baiguo	Ginkgo Semen	止咳平喘药	Antitussive Antiasthmetics
白花菜子	Baihuacaizi	Semen Cleomis	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
白花蛇舌草	Baihuasheshecao	Hedyotis Diffusae Herba	清热解毒药	Antipyretic Detoxicate Drugs
白及	Baiji	Bletilla Striata (Thunb.Ex A.Murray)Rchb.F.	收敛止血药	Astringent Hemostatic Medicinal
白蔹	Bailian	Ampelopsis Japonica	清热解毒药	Antipyretic Detoxicate Drugs
白毛藤	Baimaoteng	Herba Solani Lyrati	清热解毒药	Antipyretic Detoxicate Drugs
白毛夏枯草	Baimaoxiakucao	Ajugae Decumbentis Herba	清热解毒药	Antipyretic Detoxicate Drugs
白茅根	Baimaogen	Imperatae Rhizoma	凉血止血药	Blood-Cooling Hemostatic Medicinal
白前	Baiqian	Cynanchistauntonii Rhizoma Et Radix	化痰药	Phlegresolving Medicine
白屈菜	Baiqucai	Chelidonii Herba	止咳平喘药	Antitussive Antiasthmetics
白芍	Baishao	Paeoniae Radix Alba	补血药	Blood-Tonifying Medicinal
白术	Baizhu	Atractylodes Macrocephala Koidz.	补气药	Qi Reinforcing Drugs
白头翁	Baitouweng	Pulsatilliae Radix	清热解毒药	Antipyretic Detoxicate Drugs
白薇	Baiwei	Radix Cynanchi	清虚热药	Asthenic Heat Dispelling Drugs
白鲜皮	Baixianpi	Dictamni Cortex	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
白药子	Baiyaozi	Radix Stephaniae Cepharanthae.	清热解毒药	Antipyretic Detoxicate Drugs
白芷	Baizhi	A. Dahurica (Fisch.) Benth. Et Hook	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
百部	Baibu	Stemonae Radix	止咳平喘药	Antitussive Antiasthmetics
百合	Baihe	Lilii Bulbus	补阴药	Yin-Tonifying Medicinal
柏子仁	Baiziren	Platycladi Semen	安神药	Tranguilizing Medicinal
败酱草	Baijiangcao	Herba Patriniae	清热解毒药	Antipyretic Detoxicate Drugs
斑蝥	Banmao	Mylabris	活血祛瘀药	Blood Activating Stasis Removing Drugs
板蓝根	Banlangen	Isatidis Radix	清热解毒药	Antipyretic Detoxicate Drugs
