target_ID	TAR_ID	drugbank_ID	target_name	kegg
1	TAR00001	1	Penicillin binding protein 3	
2	TAR00002	3	Histidine decarboxylase	
3	TAR00003	7	Nitric oxide synthase, inducible	
4	TAR00004	16	Adenosine A1 receptor	
5	TAR00005	19	Coagulation Factor VIIIa	
6	TAR00006	20	Prostaglandin G/H synthase 1	
7	TAR00007	23	Dopamine D1 receptor	
8	TAR00008	26	Vascular endothelial growth factor receptor 3	
9	TAR00009	32	Vascular endothelial growth factor receptor 1	
10	TAR00010	33	Cystine/glutamate transporter	
11	TAR00011	36	Insulin receptor	
12	TAR00012	40	mRNA of RAF proto-oncogene serine/threonine-protein kinase	
13	TAR00013	46	Coagulation Factor Va	
14	TAR00014	48	Pyridoxal kinase	
15	TAR00015	49	Endothelin B receptor	
16	TAR00016	51	Muscarinic acetylcholine receptor M3	
17	TAR00017	54	Thrombin	
18	TAR00018	55	High affinity immunoglobulin epsilon receptor	
20	TAR00020	57	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase	
21	TAR00021	62	Glycine receptor	
23	TAR00023	65	92 kDa type IV collagenase	
24	TAR00024	68	Cannabinoid receptor 1	
25	TAR00025	70	Type-1 angiotensin II receptor	
26	TAR00026	73	Prostaglandin E2 receptor, EP1 subtype	
27	TAR00027	75	B-lymphocyte antigen CD20	
28	TAR00028	76	Nitric-oxide synthase, brain	
29	TAR00029	78	Acetyl-CoA acetyltransferase, mitochondrial	
30	TAR00030	80	Peroxisome proliferator activated receptor alpha	
31	TAR00031	84	Orphan nuclear receptor DAX-1	
32	TAR00032	85	Growth hormone receptor	
33	TAR00033	87	Hypoxanthine-guanine phosphoribosyltransferase	
34	TAR00034	93	CAMPATH-1 antigen	
35	TAR00035	94	5-hydroxytryptamine 4 receptor	
36	TAR00036	97	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	
37	TAR00037	101	Potassium voltage-gated channel subfamily H member 2	
38	TAR00038	103	Muscarinic acetylcholine receptor M1	
39	TAR00039	106	Cannabinoid receptor 2	
40	TAR00040	113	S-adenosylmethionine decarboxylase proenzyme	
41	TAR00041	121	N-acylglucosamine 2-epimerase	
42	TAR00042	122	P2Y purinoceptor 12	
43	TAR00043	124	Histamine H2 receptor	
44	TAR00044	131	Synaptic vesicle amine transporter	
45	TAR00045	132	ATP-binding cassette, sub-family A, member 1	
46	TAR00046	136	Estrogen receptor	
47	TAR00047	145	Corticosteroid 11-beta-dehydrogenase, isozyme 2	
48	TAR00048	146	Androgen receptor	
49	TAR00049	147	Aldehyde dehydrogenase, mitochondrial	
50	TAR00050	148	Lutropin-choriogonadotropic hormone receptor	
51	TAR00051	157	K-Cl cotransporter 3	
52	TAR00052	158	Sodium channel protein type 1 subunit alpha	
53	TAR00053	159	Penicillin binding protein 2	
54	TAR00054	161	Tubulin beta	
55	TAR00055	162	Retinoic acid receptor gamma	
56	TAR00056	163	D(1B) dopamine receptor	
57	TAR00057	164	Histamine H4 receptor	
58	TAR00058	165	FL cytokine receptor	
59	TAR00059	170	Succinate semialdehyde dehydrogenase, mitochondrial	
60	TAR00060	173	Toll-like receptor 7	
61	TAR00061	174	Sigma(1)-type opioid receptor	
62	TAR00062	185	Vasopressin V1a receptor	
63	TAR00063	193	Beta-1 adrenergic receptor	
64	TAR00064	198	Sodium channel protein type 10 subunit alpha	
65	TAR00065	204	CGMP-specific 3',5'-cyclic phosphodiesterase	
66	TAR00066	211	Scavenger receptor class B member 1	
67	TAR00067	213	Amiloride-sensitive sodium channel alpha-subunit	
68	TAR00068	215	Voltage-gated sodium channel subunit alpha Nav1.9	
69	TAR00069	217	Estradiol 17 beta-dehydrogenase 1	
70	TAR00070	220	Sodium channel protein type 5 subunit alpha	
71	TAR00071	226	Gonadotropin-releasing hormone receptor	
72	TAR00072	228	Beta platelet-derived growth factor receptor	
73	TAR00073	229	Retinoic acid receptor beta	
74	TAR00074	230	Sulfonylurea receptor 1	
75	TAR00075	231	Glycerol-3-phosphate dehydrogenase [NAD+], cytoplasmic	
76	TAR00076	234	Plasminogen	
77	TAR00077	235	High-affinity cationic amino acid transporter-1	
78	TAR00078	238	Peroxisome proliferator activated receptor gamma	
79	TAR00079	239	Coagulation factor Xa	
